age_upon_outcome,animal_id,animal_type,outcome_subtype,outcome_type,sex_upon_outcome
6 years,A006100,Dog,,Return to Owner,Neutered Male
7 years,A006100,Dog,,Return to Owner,Neutered Male
10 years,A006100,Dog,,Return to Owner,Neutered Male
10 years,A047759,Dog,Partner,Transfer,Neutered Male
16 years,A134067,Dog,,Return to Owner,Neutered Male
15 years,A141142,Dog,,Return to Owner,Spayed Female
15 years,A163459,Dog,,Return to Owner,Intact Female
15 years,A165752,Dog,,Return to Owner,Neutered Male
15 years,A178569,Dog,,Return to Owner,Neutered Male
18 years,A189592,Dog,,Return to Owner,Spayed Female
16 years,A191351,Cat,,Return to Owner,Intact Female
14 years,A197810,Cat,Partner,Transfer,Spayed Female
16 years,A200922,Dog,Foster,Adoption,Neutered Male
14 years,A208755,Dog,Suffering,Euthanasia,Neutered Male
17 years,A210457,Dog,Foster,Adoption,Neutered Male
13 years,A212672,Dog,,Return to Owner,Intact Female
19 years,A214991,Cat,Suffering,Euthanasia,Spayed Female
13 years,A215368,Dog,,Return to Owner,Neutered Male
15 years,A218622,Dog,Suffering,Euthanasia,Neutered Male
15 years,A218624,Dog,Suffering,Euthanasia,Neutered Male
16 years,A221327,Dog,Suffering,Euthanasia,Spayed Female
12 years,A221448,Dog,,Return to Owner,Neutered Male
15 years,A226069,Dog,Foster,Adoption,Neutered Male
12 years,A228887,Dog,,Return to Owner,Spayed Female
13 years,A230482,Dog,Suffering,Euthanasia,Intact Male
13 years,A233812,Dog,,Return to Owner,Neutered Male
12 years,A234161,Cat,,Return to Owner,Neutered Male
13 years,A236259,Dog,,Return to Owner,Neutered Male
15 years,A238870,Dog,Partner,Transfer,Neutered Male
13 years,A243903,Cat,,Return to Owner,Neutered Male
14 years,A245945,Dog,,Return to Owner,Neutered Male
15 years,A245945,Dog,Partner,Transfer,Neutered Male
15 years,A249087,Dog,Foster,Adoption,Spayed Female
14 years,A251095,Dog,Medical,Euthanasia,Spayed Female
12 years,A251214,Dog,,Return to Owner,Neutered Male
17 years,A251268,Cat,,Return to Owner,Neutered Male
18 years,A251402,Dog,,Return to Owner,Spayed Female
12 years,A253939,Dog,,Return to Owner,Spayed Female
17 years,A254503,Dog,Suffering,Euthanasia,Spayed Female
16 years,A256412,Dog,,Return to Owner,Intact Male
14 years,A258441,Cat,Suffering,Euthanasia,Spayed Female
14 years,A260631,Cat,Partner,Transfer,Neutered Male
13 years,A260914,Dog,,Return to Owner,Neutered Male
14 years,A261398,Dog,,Return to Owner,Neutered Male
20 years,A261770,Cat,Suffering,Euthanasia,Neutered Male
12 years,A267174,Dog,,Return to Owner,Neutered Male
13 years,A268022,Dog,Suffering,Euthanasia,Spayed Female
12 years,A271790,Dog,Medical,Euthanasia,Neutered Male
11 years,A274546,Dog,,Adoption,Spayed Female
11 years,A275975,Cat,,Adoption,Spayed Female
14 years,A276644,Cat,Partner,Transfer,Spayed Female
11 years,A276780,Dog,,Return to Owner,Neutered Male
14 years,A279045,Cat,,Return to Owner,Spayed Female
12 years,A279920,Dog,Behavior,Euthanasia,Neutered Male
12 years,A281542,Dog,Foster,Adoption,Neutered Male
12 years,A282897,Cat,,Adoption,Neutered Male
13 years,A282897,Cat,,Adoption,Neutered Male
13 years,A283735,Dog,Suffering,Euthanasia,Spayed Female
11 years,A284639,Dog,,Return to Owner,Neutered Male
17 years,A285685,Dog,,Return to Owner,Neutered Male
13 years,A287017,Dog,,Return to Owner,Spayed Female
14 years,A287017,Dog,,Return to Owner,Spayed Female
12 years,A287217,Cat,,Return to Owner,Spayed Female
11 years,A290917,Cat,Partner,Transfer,Spayed Female
15 years,A291843,Dog,,Return to Owner,Neutered Male
12 years,A292482,Cat,,Return to Owner,Spayed Female
15 years,A293138,Cat,Partner,Transfer,Spayed Female
15 years,A293383,Cat,,Return to Owner,Neutered Male
12 years,A293634,Dog,,Return to Owner,Spayed Female
12 years,A294132,Dog,,Return to Owner,Neutered Male
11 years,A294728,Dog,,Return to Owner,Neutered Male
12 years,A295822,Cat,,Adoption,Spayed Female
15 years,A297699,Dog,,Return to Owner,Neutered Male
18 years,A298074,Dog,,Return to Owner,Spayed Female
13 years,A298677,Dog,Suffering,Euthanasia,Spayed Female
13 years,A301824,Cat,Partner,Transfer,Spayed Female
11 years,A302820,Dog,Foster,Adoption,Spayed Female
16 years,A303591,Dog,Partner,Transfer,Neutered Male
13 years,A304036,Cat,,Adoption,Neutered Male
13 years,A304036,Cat,,Return to Owner,Neutered Male
11 years,A305112,Dog,,Return to Owner,Spayed Female
12 years,A305674,Dog,Suffering,Euthanasia,Spayed Female
13 years,A306362,Dog,,Return to Owner,Spayed Female
14 years,A306965,Dog,,Return to Owner,Spayed Female
14 years,A307010,Dog,,Return to Owner,Neutered Male
13 years,A307010,Dog,,Return to Owner,Neutered Male
13 years,A307398,Dog,Suffering,Euthanasia,Spayed Female
12 years,A307592,Cat,,Adoption,Neutered Male
14 years,A308771,Dog,,Return to Owner,Spayed Female
14 years,A309706,Dog,,Return to Owner,Spayed Female
13 years,A309829,Dog,,Return to Owner,Intact Male
11 years,A310394,Dog,,Return to Owner,Spayed Female
13 years,A310454,Dog,,Return to Owner,Neutered Male
12 years,A310938,Cat,,Return to Owner,Neutered Male
16 years,A311544,Dog,,Return to Owner,Neutered Male
13 years,A312005,Cat,,Adoption,Neutered Male
14 years,A317673,Cat,Partner,Transfer,Spayed Female
15 years,A317783,Dog,,Return to Owner,Spayed Female
13 years,A318500,Dog,,Return to Owner,Neutered Male
13 years,A318574,Cat,Suffering,Euthanasia,Neutered Male
12 years,A318574,Cat,,Adoption,Neutered Male
14 years,A318615,Dog,Suffering,Euthanasia,Neutered Male
14 years,A321263,Dog,,Return to Owner,Spayed Female
10 years,A321341,Cat,,Adoption,Spayed Female
16 years,A321820,Cat,,Return to Owner,Neutered Male
11 years,A322813,Dog,,Return to Owner,Neutered Male
12 years,A322813,Dog,,Return to Owner,Neutered Male
12 years,A323090,Cat,,Return to Owner,Spayed Female
11 years,A323668,Dog,,Return to Owner,Neutered Male
12 years,A325999,Dog,Suffering,Euthanasia,Spayed Female
14 years,A326898,Cat,,Return to Owner,Spayed Female
10 years,A328422,Dog,,Return to Owner,Neutered Male
14 years,A329257,Dog,,Return to Owner,Spayed Female
16 years,A329502,Dog,,Return to Owner,Neutered Male
17 years,A329502,Dog,Partner,Transfer,Neutered Male
10 years,A329835,Dog,,Return to Owner,Spayed Female
15 years,A329871,Dog,,Return to Owner,Spayed Female
14 years,A329968,Dog,,Return to Owner,Neutered Male
15 years,A332026,Dog,,Return to Owner,Neutered Male
14 years,A332246,Dog,,Return to Owner,Intact Male
9 years,A333659,Dog,,Return to Owner,Neutered Male
12 years,A333780,Dog,,Return to Owner,Neutered Male
12 years,A333781,Dog,,Return to Owner,Neutered Male
12 years,A334065,Dog,Suffering,Euthanasia,Neutered Male
10 years,A335182,Dog,,Return to Owner,Spayed Female
14 years,A335778,Dog,,Return to Owner,Spayed Female
12 years,A335950,Dog,Suffering,Euthanasia,Neutered Male
12 years,A337187,Dog,Suffering,Euthanasia,Neutered Male
14 years,A337603,Dog,,Return to Owner,Spayed Female
11 years,A337686,Dog,,Return to Owner,Spayed Female
11 years,A337686,Dog,,Return to Owner,Spayed Female
14 years,A337859,Dog,Suffering,Euthanasia,Neutered Male
13 years,A338231,Dog,,Return to Owner,Neutered Male
16 years,A338231,Dog,,Adoption,Neutered Male
13 years,A338643,Dog,Foster,Adoption,Neutered Male
11 years,A338821,Dog,,Adoption,Spayed Female
11 years,A339103,Dog,,Return to Owner,Spayed Female
12 years,A339523,Dog,,Return to Owner,Spayed Female
9 years,A339803,Dog,,Adoption,Neutered Male
9 years,A341599,Cat,Partner,Transfer,Neutered Male
13 years,A342475,Dog,,Return to Owner,Spayed Female
14 years,A342480,Dog,,Return to Owner,Spayed Female
13 years,A342659,Dog,Foster,Adoption,Neutered Male
10 years,A345209,Dog,,Return to Owner,Spayed Female
10 years,A345209,Dog,,Return to Owner,Spayed Female
10 years,A346010,Dog,,Adoption,Spayed Female
10 years,A346599,Cat,,Return to Owner,Intact Male
11 years,A346599,Cat,Partner,Transfer,Intact Male
11 years,A346884,Dog,Suffering,Euthanasia,Spayed Female
13 years,A347684,Dog,,Return to Owner,Spayed Female
13 years,A347684,Dog,,Return to Owner,Spayed Female
11 years,A348272,Dog,,Adoption,Spayed Female
14 years,A348400,Cat,,Adoption,Spayed Female
13 years,A349317,Dog,,Adoption,Neutered Male
11 years,A349334,Dog,,Return to Owner,Neutered Male
11 years,A349480,Dog,,Return to Owner,Spayed Female
16 years,A349733,Dog,,Return to Owner,Spayed Female
13 years,A349990,Cat,Partner,Transfer,Spayed Female
13 years,A349996,Cat,Partner,Transfer,Neutered Male
13 years,A350276,Cat,,Adoption,Spayed Female
14 years,A350375,Cat,Partner,Transfer,Neutered Male
13 years,A352555,Dog,,Return to Owner,Spayed Female
13 years,A352713,Cat,Partner,Transfer,Spayed Female
11 years,A352872,Dog,In Kennel,Died,Neutered Male
14 years,A353259,Dog,,Return to Owner,Neutered Male
10 years,A354540,Cat,Foster,Adoption,Neutered Male
10 years,A354597,Cat,,Adoption,Spayed Female
11 years,A354725,Dog,Partner,Transfer,Spayed Female
13 years,A354753,Dog,,Return to Owner,Neutered Male
12 years,A355519,Dog,,Return to Owner,Spayed Female
9 years,A355688,Dog,,Adoption,Neutered Male
11 years,A355753,Dog,,Return to Owner,Neutered Male
11 years,A355753,Dog,,Adoption,Neutered Male
10 years,A357021,Dog,,Return to Owner,Spayed Female
12 years,A357444,Dog,Partner,Transfer,Neutered Male
11 years,A357846,Dog,,Return to Owner,Neutered Male
11 years,A358697,Dog,,Return to Owner,Neutered Male
13 years,A358879,Dog,Suffering,Euthanasia,Neutered Male
12 years,A361391,Dog,Partner,Transfer,Neutered Male
12 years,A362103,Dog,,Return to Owner,Neutered Male
9 years,A362137,Dog,Foster,Adoption,Spayed Female
12 years,A362383,Dog,,Return to Owner,Neutered Male
12 years,A362383,Dog,Partner,Transfer,Neutered Male
12 years,A362707,Dog,Foster,Adoption,Spayed Female
9 years,A362967,Dog,,Return to Owner,Spayed Female
10 years,A363653,Dog,,Return to Owner,Neutered Male
10 years,A363653,Dog,,Return to Owner,Neutered Male
11 years,A364429,Dog,,Return to Owner,Neutered Male
10 years,A365172,Dog,Partner,Transfer,Neutered Male
16 years,A365302,Dog,,Return to Owner,Spayed Female
11 years,A367012,Dog,Suffering,Euthanasia,Neutered Male
16 years,A367438,Dog,,Adoption,Spayed Female
10 years,A367747,Dog,Foster,Adoption,Neutered Male
13 years,A368742,Dog,,Return to Owner,Spayed Female
10 years,A368930,Dog,Partner,Transfer,Spayed Female
12 years,A370439,Dog,,Return to Owner,Neutered Male
10 years,A370507,Cat,Foster,Adoption,Spayed Female
9 years,A370852,Dog,,Return to Owner,Spayed Female
11 years,A371000,Cat,,Adoption,Neutered Male
13 years,A371102,Dog,,Return to Owner,Neutered Male
10 years,A371344,Dog,,Return to Owner,Neutered Male
14 years,A371534,Dog,,Return to Owner,Spayed Female
5 years,A373219,Cat,Partner,Transfer,Spayed Female
9 years,A373687,Dog,,Adoption,Spayed Female
13 years,A375393,Dog,,Return to Owner,Neutered Male
11 years,A376322,Dog,,Return to Owner,Spayed Female
13 years,A376459,Dog,,Return to Owner,Spayed Female
13 years,A377750,Dog,,Return to Owner,Spayed Female
9 years,A378348,Dog,,Adoption,Neutered Male
9 years,A378348,Dog,Foster,Adoption,Neutered Male
10 years,A378353,Dog,Suffering,Euthanasia,Intact Female
10 years,A378818,Dog,,Return to Owner,Spayed Female
15 years,A378946,Dog,,Adoption,Spayed Female
10 years,A379998,Dog,,Return to Owner,Intact Male
11 years,A380009,Dog,,Return to Owner,Spayed Female
9 years,A380320,Dog,Aggressive,Euthanasia,Neutered Male
13 years,A380420,Dog,Foster,Adoption,Spayed Female
12 years,A380506,Dog,Suffering,Euthanasia,Spayed Female
14 years,A381173,Dog,,Return to Owner,Spayed Female
13 years,A381217,Dog,Partner,Transfer,Neutered Male
13 years,A381217,Dog,,Rto-Adopt,Neutered Male
11 years,A382192,Dog,Partner,Transfer,Intact Male
10 years,A382251,Dog,,Return to Owner,Spayed Female
14 years,A383036,Cat,Suffering,Euthanasia,Neutered Male
12 years,A383964,Dog,,Return to Owner,Neutered Male
9 years,A384360,Cat,,Return to Owner,Neutered Male
9 years,A384568,Cat,,Adoption,Neutered Male
10 years,A385442,Dog,,Return to Owner,Neutered Male
10 years,A386005,Dog,,Return to Owner,Neutered Male
10 years,A386276,Cat,,Adoption,Neutered Male
10 years,A386688,Dog,Partner,Transfer,Neutered Male
9 years,A387083,Dog,,Return to Owner,Spayed Female
10 years,A387965,Dog,,Return to Owner,Spayed Female
10 years,A388360,Dog,,Return to Owner,Neutered Male
12 years,A388691,Dog,,Return to Owner,Neutered Male
9 years,A390222,Dog,,Adoption,Spayed Female
9 years,A390222,Dog,,Adoption,Spayed Female
11 years,A391512,Dog,,Return to Owner,Neutered Male
11 years,A391858,Dog,,Return to Owner,Spayed Female
14 years,A392027,Dog,,Return to Owner,Spayed Female
8 years,A392075,Dog,,Return to Owner,Neutered Male
10 years,A392615,Dog,,Return to Owner,Neutered Male
9 years,A394547,Dog,,Return to Owner,Spayed Female
10 years,A395451,Dog,,Return to Owner,Neutered Male
13 years,A396810,Dog,Foster,Adoption,Spayed Female
15 years,A397882,Dog,,Return to Owner,Neutered Male
10 years,A399421,Dog,,Return to Owner,Spayed Female
14 years,A399552,Dog,Partner,Transfer,Neutered Male
13 years,A400498,Dog,,Adoption,Neutered Male
12 years,A400680,Dog,,Adoption,Spayed Female
16 years,A403564,Dog,,Return to Owner,Spayed Female
8 years,A405494,Dog,,Return to Owner,Spayed Female
12 years,A406756,Dog,Partner,Transfer,Spayed Female
11 years,A407156,Dog,,Return to Owner,Neutered Male
12 years,A408035,Dog,,Return to Owner,Spayed Female
11 years,A409637,Dog,,Return to Owner,Neutered Male
11 years,A410330,Dog,Partner,Transfer,Intact Female
12 years,A410668,Cat,Foster,Adoption,Spayed Female
9 years,A410684,Cat,,Adoption,Spayed Female
9 years,A412173,Dog,,Return to Owner,Neutered Male
12 years,A412626,Dog,,Adoption,Neutered Male
10 years,A412697,Dog,,Return to Owner,Neutered Male
10 years,A413789,Dog,,Return to Owner,Spayed Female
9 years,A414198,Dog,,Return to Owner,Spayed Female
11 years,A414513,Dog,Partner,Transfer,Neutered Male
13 years,A414620,Dog,,Adoption,Neutered Male
9 years,A415049,Dog,,Return to Owner,Spayed Female
10 years,A415589,Dog,,Return to Owner,Spayed Female
12 years,A415823,Dog,,Return to Owner,Neutered Male
12 years,A415823,Dog,,Return to Owner,Neutered Male
11 years,A416128,Dog,,Return to Owner,Neutered Male
11 years,A416756,Dog,,Return to Owner,Neutered Male
11 years,A417545,Cat,Foster,Adoption,Spayed Female
10 years,A417622,Dog,,Return to Owner,Neutered Male
12 years,A417642,Cat,,Adoption,Neutered Male
14 years,A417705,Dog,,Return to Owner,Spayed Female
13 years,A417737,Dog,,Return to Owner,Spayed Female
11 years,A417832,Cat,Partner,Transfer,Spayed Female
10 years,A418634,Dog,,Return to Owner,Neutered Male
11 years,A419009,Dog,,Return to Owner,Neutered Male
17 years,A419161,Cat,Suffering,Euthanasia,Neutered Male
11 years,A419723,Dog,Partner,Transfer,Neutered Male
7 years,A419781,Dog,,Return to Owner,Spayed Female
10 years,A420143,Cat,Partner,Transfer,Spayed Female
7 years,A420464,Dog,,Return to Owner,Neutered Male
11 years,A421087,Dog,,Return to Owner,Spayed Female
13 years,A422526,Dog,Partner,Transfer,Neutered Male
10 years,A423033,Dog,,Return to Owner,Spayed Female
11 years,A423546,Dog,,Adoption,Neutered Male
8 years,A423701,Dog,,Return to Owner,Spayed Female
9 years,A424158,Dog,,Return to Owner,Neutered Male
12 years,A424158,Dog,,Return to Owner,Neutered Male
11 years,A424158,Dog,,Return to Owner,Neutered Male
12 years,A424714,Dog,,Return to Owner,Neutered Male
10 years,A427100,Dog,,Return to Owner,Spayed Female
10 years,A427442,Cat,,Return to Owner,Spayed Female
9 years,A427782,Dog,,Return to Owner,Neutered Male
13 years,A427808,Dog,,Return to Owner,Spayed Female
8 years,A427866,Dog,Suffering,Euthanasia,Neutered Male
8 years,A428783,Dog,,Adoption,Spayed Female
10 years,A430328,Dog,,Return to Owner,Spayed Female
9 years,A430366,Dog,,Return to Owner,Neutered Male
7 years,A430368,Dog,,Adoption,Neutered Male
10 years,A430437,Dog,Partner,Transfer,Neutered Male
8 years,A430500,Dog,,Return to Owner,Spayed Female
11 years,A430501,Dog,Suffering,Euthanasia,Spayed Female
8 years,A430671,Dog,Suffering,Euthanasia,Spayed Female
12 years,A430709,Dog,,Return to Owner,Neutered Male
13 years,A430709,Dog,,Return to Owner,Neutered Male
10 years,A430953,Dog,,Return to Owner,Neutered Male
10 years,A431223,Dog,,Return to Owner,Neutered Male
8 years,A431615,Dog,Foster,Adoption,Spayed Female
8 years,A432065,Dog,Partner,Transfer,Spayed Female
8 years,A432197,Cat,,Adoption,Spayed Female
12 years,A433111,Dog,,Return to Owner,Intact Female
12 years,A433111,Dog,,Return to Owner,Intact Female
9 years,A433746,Dog,Partner,Transfer,Spayed Female
11 years,A434523,Cat,,Return to Owner,Spayed Female
9 years,A434923,Dog,,Return to Owner,Spayed Female
9 years,A435209,Dog,,Return to Owner,Spayed Female
9 years,A435237,Dog,,Return to Owner,Neutered Male
9 years,A435358,Dog,,Return to Owner,Spayed Female
13 years,A436250,Dog,,Return to Owner,Spayed Female
14 years,A438287,Dog,,Adoption,Spayed Female
13 years,A438287,Dog,,Adoption,Spayed Female
8 years,A439702,Cat,Partner,Transfer,Spayed Female
13 years,A439728,Dog,Partner,Transfer,Spayed Female
10 years,A439733,Dog,,Return to Owner,Spayed Female
12 years,A440082,Dog,,Return to Owner,Neutered Male
12 years,A440835,Dog,,Return to Owner,Spayed Female
8 years,A441798,Dog,Foster,Adoption,Neutered Male
9 years,A442798,Dog,,Adoption,Spayed Female
8 years,A443085,Dog,Behavior,Euthanasia,Neutered Male
8 years,A443085,Dog,,Adoption,Neutered Male
9 years,A443497,Dog,Partner,Transfer,Spayed Female
9 years,A443738,Dog,,Return to Owner,Spayed Female
9 years,A443790,Dog,,Adoption,Neutered Male
9 years,A444115,Cat,Partner,Transfer,Spayed Female
12 years,A445392,Dog,,Return to Owner,Neutered Male
9 years,A445694,Dog,,Adoption,Spayed Female
8 years,A447033,Dog,,Adoption,Spayed Female
9 years,A447254,Dog,,Return to Owner,Spayed Female
9 years,A447753,Dog,Partner,Transfer,Spayed Female
11 years,A447896,Dog,,Return to Owner,Spayed Female
7 years,A448018,Dog,,Return to Owner,Neutered Male
14 years,A448020,Dog,,Return to Owner,Spayed Female
11 years,A448267,Dog,,Return to Owner,Neutered Male
12 years,A448267,Dog,Foster,Adoption,Neutered Male
9 years,A448750,Dog,Aggressive,Euthanasia,Neutered Male
9 years,A448819,Dog,,Return to Owner,Spayed Female
7 years,A449107,Dog,,Return to Owner,Spayed Female
8 years,A449270,Cat,,Adoption,Spayed Female
8 years,A449703,Cat,,Adoption,Spayed Female
11 years,A449752,Dog,,Return to Owner,Spayed Female
8 years,A449967,Cat,Partner,Transfer,Neutered Male
8 years,A449968,Cat,,Adoption,Spayed Female
10 years,A449968,Cat,,Adoption,Spayed Female
10 years,A450003,Dog,,Return to Owner,Neutered Male
9 years,A450223,Dog,,Return to Owner,Spayed Female
11 years,A450274,Dog,,Return to Owner,Spayed Female
9 years,A450780,Dog,,Return to Owner,Neutered Male
11 years,A451014,Dog,,Return to Owner,Spayed Female
10 years,A452508,Dog,Foster,Adoption,Neutered Male
7 years,A452948,Dog,,Return to Owner,Neutered Male
8 years,A453083,Dog,,Return to Owner,Spayed Female
9 years,A453083,Dog,,Return to Owner,Spayed Female
10 years,A453083,Dog,,Return to Owner,Spayed Female
10 years,A453102,Dog,Foster,Adoption,Spayed Female
10 years,A453102,Dog,,Return to Owner,Spayed Female
8 years,A453136,Cat,,Adoption,Neutered Male
10 years,A453523,Dog,,Adoption,Neutered Male
10 years,A453743,Dog,,Return to Owner,Neutered Male
11 years,A453933,Dog,,Return to Owner,Neutered Male
9 years,A454208,Dog,,Return to Owner,Neutered Male
11 years,A454245,Dog,,Return to Owner,Intact Male
13 years,A454384,Dog,,Return to Owner,Neutered Male
13 years,A454384,Dog,,Return to Owner,Neutered Male
8 years,A454486,Dog,,Return to Owner,Spayed Female
12 years,A454665,Dog,,Return to Owner,Neutered Male
10 years,A455146,Dog,Partner,Transfer,Spayed Female
9 years,A455868,Dog,,Adoption,Spayed Female
12 years,A456133,Dog,Foster,Adoption,Neutered Male
9 years,A456604,Dog,,Return to Owner,Spayed Female
9 years,A456857,Dog,,Return to Owner,Spayed Female
9 years,A457029,Dog,,Adoption,Neutered Male
8 years,A457858,Dog,,Return to Owner,Spayed Female
9 years,A457858,Dog,,Return to Owner,Spayed Female
9 years,A459161,Dog,,Return to Owner,Neutered Male
3 years,A459318,Dog,,Return to Owner,Neutered Male
8 years,A459766,Dog,,Return to Owner,Spayed Female
8 years,A459766,Dog,,Return to Owner,Spayed Female
10 years,A459766,Dog,Partner,Transfer,Spayed Female
7 years,A459845,Cat,,Return to Owner,Spayed Female
8 years,A459859,Dog,Partner,Transfer,Neutered Male
10 years,A459869,Cat,Partner,Transfer,Spayed Female
10 years,A459989,Dog,,Return to Owner,Neutered Male
11 years,A460100,Dog,,Return to Owner,Neutered Male
8 years,A460458,Dog,,Adoption,Neutered Male
10 years,A460458,Dog,,Adoption,Neutered Male
9 years,A460630,Dog,Partner,Transfer,Spayed Female
11 years,A461106,Dog,,Return to Owner,Spayed Female
10 years,A461171,Dog,Partner,Transfer,Neutered Male
8 years,A461224,Dog,,Return to Owner,Neutered Male
10 years,A461358,Cat,,Return to Owner,Spayed Female
12 years,A461574,Dog,,Return to Owner,Intact Male
13 years,A462248,Dog,,Return to Owner,Spayed Female
9 years,A462504,Dog,,Return to Owner,Spayed Female
9 years,A462504,Dog,,Adoption,Spayed Female
11 years,A462504,Dog,Foster,Adoption,Spayed Female
10 years,A462580,Dog,,Return to Owner,Neutered Male
10 years,A462580,Dog,,Return to Owner,Neutered Male
12 years,A462580,Dog,Foster,Adoption,Neutered Male
10 years,A462580,Dog,,Return to Owner,Neutered Male
11 years,A462580,Dog,,Return to Owner,Neutered Male
10 years,A462580,Dog,,Return to Owner,Neutered Male
7 years,A462879,Dog,,Return to Owner,Spayed Female
8 years,A463218,Dog,Partner,Transfer,Spayed Female
9 years,A463982,Dog,,Return to Owner,Spayed Female
9 years,A464189,Dog,Partner,Transfer,Spayed Female
9 years,A464307,Dog,,Return to Owner,Intact Male
19 years,A464377,Dog,,Return to Owner,Neutered Male
12 years,A464496,Cat,Partner,Transfer,Neutered Male
11 years,A464652,Dog,Partner,Transfer,Intact Male
11 years,A464652,Dog,Rabies Risk,Euthanasia,Intact Male
10 years,A465426,Dog,,Return to Owner,Spayed Female
6 years,A465501,Dog,,Adoption,Spayed Female
10 years,A465573,Dog,,Return to Owner,Neutered Male
10 years,A465637,Dog,Partner,Transfer,Neutered Male
7 years,A465830,Cat,,Adoption,Neutered Male
15 years,A465849,Dog,,Adoption,Intact Female
13 years,A465849,Dog,,Return to Owner,Intact Female
11 years,A465930,Dog,,Return to Owner,Spayed Female
10 years,A466156,Dog,,Return to Owner,Neutered Male
11 years,A466411,Dog,,Return to Owner,Spayed Female
8 years,A466709,Cat,Partner,Transfer,Neutered Male
9 years,A466810,Dog,,Return to Owner,Spayed Female
8 years,A466858,Cat,Suffering,Euthanasia,Spayed Female
9 years,A466946,Dog,,Return to Owner,Spayed Female
8 years,A467213,Cat,Suffering,Euthanasia,Spayed Female
9 years,A467387,Dog,Behavior,Euthanasia,Spayed Female
15 years,A467392,Dog,,Return to Owner,Spayed Female
15 years,A467567,Dog,,Return to Owner,Spayed Female
7 years,A468026,Dog,,Return to Owner,Spayed Female
10 years,A468026,Dog,Foster,Adoption,Spayed Female
8 years,A468181,Dog,,Return to Owner,Neutered Male
8 years,A468181,Dog,,Return to Owner,Neutered Male
9 years,A468181,Dog,,Return to Owner,Neutered Male
11 years,A468181,Dog,,Return to Owner,Neutered Male
6 years,A468790,Dog,,Return to Owner,Neutered Male
10 years,A469338,Dog,,Return to Owner,Neutered Male
8 years,A470287,Dog,,Return to Owner,Neutered Male
17 years,A470702,Dog,,Return to Owner,Spayed Female
7 years,A471015,Dog,,Adoption,Neutered Male
10 years,A471018,Cat,Partner,Transfer,Spayed Female
9 years,A471842,Cat,,Return to Owner,Neutered Male
7 years,A473179,Dog,Aggressive,Euthanasia,Neutered Male
12 years,A473353,Dog,,Return to Owner,Spayed Female
11 years,A474000,Cat,,Adoption,Neutered Male
11 years,A474000,Cat,,Adoption,Neutered Male
11 years,A474001,Cat,,Adoption,Spayed Female
11 years,A474001,Cat,,Adoption,Spayed Female
8 years,A474311,Cat,,Adoption,Neutered Male
11 years,A474539,Dog,,Return to Owner,Neutered Male
10 years,A474852,Dog,,Return to Owner,Neutered Male
9 years,A475812,Dog,,Return to Owner,Spayed Female
13 years,A475943,Dog,,Return to Owner,Spayed Female
13 years,A475943,Dog,,Return to Owner,Spayed Female
6 years,A475944,Dog,,Return to Owner,Spayed Female
7 years,A475944,Dog,,Return to Owner,Spayed Female
6 years,A476054,Dog,,Return to Owner,Spayed Female
7 years,A476054,Dog,,Adoption,Spayed Female
13 years,A476298,Dog,,Return to Owner,Neutered Male
7 years,A476605,Dog,,Return to Owner,Neutered Male
9 years,A476605,Dog,,Return to Owner,Neutered Male
9 years,A476642,Cat,Partner,Transfer,Spayed Female
8 years,A476706,Dog,Aggressive,Euthanasia,Neutered Male
6 years,A476741,Cat,,Adoption,Spayed Female
9 years,A476874,Dog,Suffering,Euthanasia,Spayed Female
10 years,A477516,Dog,,Return to Owner,Neutered Male
8 years,A477746,Cat,Foster,Adoption,Spayed Female
7 years,A477934,Dog,,Return to Owner,Spayed Female
8 years,A478206,Dog,,Return to Owner,Neutered Male
7 years,A478560,Dog,,Return to Owner,Spayed Female
9 years,A478560,Dog,Foster,Adoption,Spayed Female
9 years,A478560,Dog,,Adoption,Spayed Female
12 years,A478579,Dog,Medical,Euthanasia,Spayed Female
9 years,A478957,Cat,,Return to Owner,Neutered Male
9 years,A479137,Dog,,Adoption,Spayed Female
9 years,A479150,Cat,Partner,Transfer,Spayed Female
8 years,A481727,Dog,,Return to Owner,Neutered Male
7 years,A482046,Dog,Suffering,Euthanasia,Neutered Male
9 years,A482334,Dog,,Return to Owner,Spayed Female
7 years,A482518,Dog,,Return to Owner,Neutered Male
15 years,A482683,Dog,,Return to Owner,Spayed Female
6 years,A483240,Cat,Foster,Adoption,Spayed Female
6 years,A483240,Cat,,Adoption,Spayed Female
10 years,A483604,Dog,,Return to Owner,Spayed Female
13 years,A483647,Dog,,Return to Owner,Neutered Male
7 years,A484400,Dog,,Return to Owner,Neutered Male
10 years,A484400,Dog,,Return to Owner,Neutered Male
9 years,A484463,Cat,,Return to Owner,Neutered Male
10 years,A484851,Dog,,Adoption,Spayed Female
7 years,A484925,Dog,Partner,Transfer,Intact Female
7 years,A484945,Cat,Partner,Transfer,Neutered Male
10 years,A485350,Dog,,Return to Owner,Neutered Male
11 years,A485352,Cat,,Adoption,Spayed Female
6 years,A485651,Dog,,Return to Owner,Spayed Female
9 years,A485674,Dog,,Adoption,Neutered Male
11 years,A485940,Dog,,Adoption,Spayed Female
14 years,A485955,Dog,,Return to Owner,Neutered Male
8 years,A486513,Cat,,Return to Owner,Neutered Male
9 years,A486573,Dog,Partner,Transfer,Neutered Male
