age_upon_intake,animal_id,animal_type,intake_condition,intake_type,sex_upon_intake
7 years,A006100,Dog,Normal,Public Assist,Neutered Male
10 years,A006100,Dog,Normal,Stray,Neutered Male
6 years,A006100,Dog,Normal,Public Assist,Neutered Male
10 years,A047759,Dog,Normal,Owner Surrender,Neutered Male
16 years,A134067,Dog,Injured,Public Assist,Neutered Male
15 years,A141142,Dog,Aged,Stray,Spayed Female
15 years,A163459,Dog,Normal,Stray,Intact Female
15 years,A165752,Dog,Normal,Stray,Neutered Male
15 years,A178569,Dog,Normal,Public Assist,Neutered Male
18 years,A189592,Dog,Normal,Stray,Spayed Female
16 years,A191351,Cat,Normal,Stray,Intact Female
14 years,A197810,Cat,Normal,Stray,Spayed Female
16 years,A200922,Dog,Normal,Owner Surrender,Neutered Male
14 years,A208755,Dog,Sick,Owner Surrender,Neutered Male
17 years,A210457,Dog,Aged,Public Assist,Neutered Male
13 years,A212672,Dog,Normal,Stray,Intact Female
19 years,A214991,Cat,Aged,Euthanasia Request,Spayed Female
13 years,A215368,Dog,Normal,Stray,Neutered Male
15 years,A218622,Dog,Sick,Owner Surrender,Neutered Male
15 years,A218624,Dog,Sick,Owner Surrender,Neutered Male
16 years,A221327,Dog,Injured,Stray,Spayed Female
12 years,A221448,Dog,Normal,Stray,Neutered Male
15 years,A226069,Dog,Normal,Stray,Neutered Male
12 years,A228887,Dog,Normal,Stray,Spayed Female
13 years,A230482,Dog,Aged,Euthanasia Request,Intact Male
13 years,A233812,Dog,Aged,Stray,Neutered Male
12 years,A234161,Cat,Normal,Stray,Neutered Male
12 years,A236259,Dog,Normal,Stray,Neutered Male
15 years,A238870,Dog,Normal,Stray,Neutered Male
13 years,A243903,Cat,Sick,Stray,Neutered Male
14 years,A245945,Dog,Normal,Stray,Neutered Male
15 years,A245945,Dog,Normal,Stray,Neutered Male
15 years,A249087,Dog,Normal,Stray,Spayed Female
14 years,A251095,Dog,Aged,Euthanasia Request,Spayed Female
12 years,A251214,Dog,Normal,Stray,Neutered Male
17 years,A251268,Cat,Normal,Stray,Neutered Male
18 years,A251402,Dog,Normal,Stray,Spayed Female
12 years,A253939,Dog,Normal,Stray,Spayed Female
17 years,A254503,Dog,Normal,Stray,Spayed Female
16 years,A256412,Dog,Injured,Stray,Intact Male
14 years,A258441,Cat,Sick,Euthanasia Request,Spayed Female
14 years,A260631,Cat,Normal,Stray,Neutered Male
13 years,A260914,Dog,Normal,Stray,Neutered Male
14 years,A261398,Dog,Normal,Public Assist,Neutered Male
20 years,A261770,Cat,Normal,Euthanasia Request,Neutered Male
12 years,A267174,Dog,Normal,Public Assist,Neutered Male
13 years,A268022,Dog,Normal,Euthanasia Request,Spayed Female
12 years,A271790,Dog,Normal,Stray,Neutered Male
11 years,A274546,Dog,Normal,Stray,Spayed Female
14 years,A276644,Cat,Sick,Owner Surrender,Spayed Female
11 years,A276780,Dog,Normal,Stray,Neutered Male
14 years,A279045,Cat,Normal,Public Assist,Spayed Female
12 years,A279920,Dog,Normal,Stray,Neutered Male
12 years,A281542,Dog,Normal,Owner Surrender,Neutered Male
12 years,A282897,Cat,Normal,Stray,Neutered Male
13 years,A282897,Cat,Normal,Owner Surrender,Neutered Male
13 years,A283735,Dog,Sick,Owner Surrender,Spayed Female
11 years,A284639,Dog,Normal,Stray,Neutered Male
17 years,A285685,Dog,Normal,Stray,Neutered Male
14 years,A287017,Dog,Normal,Stray,Spayed Female
13 years,A287017,Dog,Aged,Stray,Spayed Female
12 years,A287217,Cat,Injured,Stray,Spayed Female
11 years,A290917,Cat,Normal,Owner Surrender,Spayed Female
15 years,A291843,Dog,Normal,Public Assist,Neutered Male
12 years,A292482,Cat,Normal,Stray,Spayed Female
15 years,A293138,Cat,Injured,Stray,Spayed Female
15 years,A293383,Cat,Sick,Stray,Neutered Male
12 years,A293634,Dog,Normal,Stray,Spayed Female
12 years,A294132,Dog,Normal,Stray,Neutered Male
11 years,A294728,Dog,Normal,Stray,Neutered Male
12 years,A295822,Cat,Normal,Stray,Spayed Female
15 years,A297699,Dog,Aged,Stray,Neutered Male
18 years,A298074,Dog,Normal,Stray,Spayed Female
13 years,A298677,Dog,Sick,Euthanasia Request,Spayed Female
13 years,A301824,Cat,Aged,Stray,Spayed Female
10 years,A302820,Dog,Normal,Owner Surrender,Spayed Female
16 years,A303591,Dog,Normal,Stray,Neutered Male
13 years,A304036,Cat,Normal,Stray,Neutered Male
13 years,A304036,Cat,Injured,Stray,Neutered Male
11 years,A305112,Dog,Normal,Stray,Spayed Female
12 years,A305674,Dog,Aged,Owner Surrender,Spayed Female
13 years,A306362,Dog,Normal,Stray,Spayed Female
14 years,A306965,Dog,Aged,Stray,Spayed Female
13 years,A307010,Dog,Normal,Stray,Neutered Male
14 years,A307010,Dog,Normal,Owner Surrender,Neutered Male
13 years,A307398,Dog,Normal,Stray,Spayed Female
12 years,A307592,Cat,Normal,Owner Surrender,Neutered Male
14 years,A308771,Dog,Normal,Stray,Spayed Female
14 years,A309706,Dog,Normal,Stray,Spayed Female
13 years,A309829,Dog,Normal,Stray,Intact Male
11 years,A310394,Dog,Normal,Public Assist,Spayed Female
13 years,A310454,Dog,Aged,Stray,Neutered Male
12 years,A310938,Cat,Other,Stray,Neutered Male
16 years,A311544,Dog,Aged,Stray,Neutered Male
13 years,A312005,Cat,Injured,Stray,Neutered Male
15 years,A317783,Dog,Normal,Stray,Spayed Female
13 years,A318500,Dog,Normal,Public Assist,Neutered Male
12 years,A318574,Cat,Normal,Owner Surrender,Neutered Male
13 years,A318574,Cat,Normal,Stray,Neutered Male
14 years,A318615,Dog,Aged,Euthanasia Request,Neutered Male
14 years,A321263,Dog,Aged,Stray,Spayed Female
10 years,A321341,Cat,Normal,Owner Surrender,Spayed Female
16 years,A321820,Cat,Normal,Stray,Neutered Male
11 years,A322813,Dog,Normal,Public Assist,Neutered Male
12 years,A322813,Dog,Normal,Stray,Neutered Male
12 years,A323090,Cat,Normal,Stray,Spayed Female
11 years,A323668,Dog,Normal,Stray,Neutered Male
12 years,A325999,Dog,Normal,Stray,Spayed Female
14 years,A326898,Cat,Normal,Stray,Spayed Female
10 years,A328422,Dog,Normal,Stray,Neutered Male
14 years,A329257,Dog,Normal,Public Assist,Spayed Female
16 years,A329502,Dog,Normal,Stray,Neutered Male
17 years,A329502,Dog,Normal,Euthanasia Request,Neutered Male
10 years,A329835,Dog,Normal,Stray,Spayed Female
15 years,A329871,Dog,Normal,Public Assist,Spayed Female
14 years,A329968,Dog,Normal,Stray,Neutered Male
15 years,A332026,Dog,Normal,Stray,Neutered Male
14 years,A332246,Dog,Normal,Stray,Intact Male
9 years,A333659,Dog,Normal,Stray,Neutered Male
12 years,A333780,Dog,Normal,Stray,Neutered Male
12 years,A333781,Dog,Normal,Stray,Neutered Male
12 years,A334065,Dog,Injured,Public Assist,Neutered Male
10 years,A335182,Dog,Normal,Stray,Spayed Female
14 years,A335778,Dog,Aged,Stray,Spayed Female
12 years,A337187,Dog,Normal,Owner Surrender,Neutered Male
14 years,A337603,Dog,Normal,Stray,Spayed Female
11 years,A337686,Dog,Normal,Stray,Spayed Female
11 years,A337686,Dog,Normal,Stray,Spayed Female
14 years,A337859,Dog,Aged,Euthanasia Request,Neutered Male
13 years,A338231,Dog,Normal,Stray,Neutered Male
16 years,A338231,Dog,Normal,Owner Surrender,Neutered Male
12 years,A338643,Dog,Normal,Owner Surrender,Neutered Male
11 years,A338821,Dog,Normal,Owner Surrender,Spayed Female
11 years,A339103,Dog,Normal,Stray,Spayed Female
12 years,A339523,Dog,Injured,Stray,Spayed Female
9 years,A339803,Dog,Normal,Owner Surrender,Neutered Male
9 years,A341599,Cat,Normal,Owner Surrender,Neutered Male
13 years,A342475,Dog,Aged,Stray,Spayed Female
14 years,A342480,Dog,Normal,Stray,Spayed Female
13 years,A342659,Dog,Normal,Owner Surrender,Neutered Male
10 years,A345209,Dog,Normal,Stray,Spayed Female
10 years,A345209,Dog,Normal,Stray,Spayed Female
9 years,A346010,Dog,Normal,Public Assist,Spayed Female
10 years,A346599,Cat,Normal,Stray,Intact Male
11 years,A346599,Cat,Sick,Stray,Intact Male
11 years,A346884,Dog,Sick,Euthanasia Request,Spayed Female
13 years,A347684,Dog,Normal,Stray,Spayed Female
13 years,A347684,Dog,Normal,Stray,Spayed Female
11 years,A348272,Dog,Normal,Stray,Spayed Female
14 years,A348400,Cat,Normal,Stray,Spayed Female
13 years,A349317,Dog,Normal,Owner Surrender,Neutered Male
11 years,A349334,Dog,Normal,Public Assist,Neutered Male
11 years,A349480,Dog,Normal,Public Assist,Spayed Female
16 years,A349733,Dog,Aged,Stray,Spayed Female
13 years,A349990,Cat,Normal,Owner Surrender,Spayed Female
13 years,A349996,Cat,Normal,Owner Surrender,Neutered Male
13 years,A350276,Cat,Normal,Stray,Spayed Female
14 years,A350375,Cat,Normal,Stray,Neutered Male
13 years,A352555,Dog,Normal,Public Assist,Spayed Female
13 years,A352713,Cat,Normal,Stray,Spayed Female
11 years,A352872,Dog,Aged,Euthanasia Request,Neutered Male
14 years,A353259,Dog,Injured,Stray,Neutered Male
10 years,A354540,Cat,Normal,Owner Surrender,Neutered Male
9 years,A354597,Cat,Normal,Owner Surrender,Spayed Female
11 years,A354725,Dog,Normal,Stray,Spayed Female
13 years,A354753,Dog,Normal,Stray,Neutered Male
12 years,A355519,Dog,Normal,Stray,Spayed Female
9 years,A355688,Dog,Normal,Owner Surrender,Neutered Male
11 years,A355753,Dog,Normal,Owner Surrender,Neutered Male
11 years,A355753,Dog,Normal,Owner Surrender,Neutered Male
10 years,A357021,Dog,Normal,Stray,Spayed Female
12 years,A357444,Dog,Normal,Owner Surrender,Neutered Male
11 years,A357846,Dog,Normal,Stray,Neutered Male
11 years,A358697,Dog,Normal,Public Assist,Neutered Male
13 years,A358879,Dog,Normal,Stray,Neutered Male
12 years,A361391,Dog,Normal,Public Assist,Neutered Male
12 years,A362103,Dog,Normal,Stray,Neutered Male
12 years,A362383,Dog,Normal,Stray,Neutered Male
12 years,A362383,Dog,Normal,Owner Surrender,Neutered Male
11 years,A362707,Dog,Sick,Owner Surrender,Spayed Female
9 years,A362967,Dog,Normal,Public Assist,Spayed Female
10 years,A363653,Dog,Normal,Stray,Neutered Male
10 years,A363653,Dog,Normal,Stray,Neutered Male
11 years,A364429,Dog,Normal,Stray,Neutered Male
10 years,A365172,Dog,Normal,Owner Surrender,Neutered Male
16 years,A365302,Dog,Aged,Stray,Spayed Female
11 years,A367012,Dog,Sick,Owner Surrender,Neutered Male
16 years,A367438,Dog,Normal,Owner Surrender,Spayed Female
10 years,A367747,Dog,Normal,Stray,Neutered Male
13 years,A368742,Dog,Aged,Stray,Spayed Female
10 years,A368930,Dog,Normal,Stray,Spayed Female
12 years,A370439,Dog,Normal,Stray,Neutered Male
10 years,A370507,Cat,Normal,Owner Surrender,Spayed Female
9 years,A370852,Dog,Normal,Stray,Spayed Female
10 years,A371000,Cat,Normal,Public Assist,Neutered Male
13 years,A371102,Dog,Normal,Stray,Neutered Male
10 years,A371344,Dog,Normal,Stray,Neutered Male
14 years,A371534,Dog,Normal,Stray,Spayed Female
5 years,A373219,Cat,Normal,Owner Surrender,Spayed Female
9 years,A373687,Dog,Normal,Owner Surrender,Spayed Female
13 years,A375393,Dog,Aged,Stray,Neutered Male
11 years,A376322,Dog,Normal,Stray,Spayed Female
13 years,A376459,Dog,Normal,Stray,Spayed Female
13 years,A377750,Dog,Normal,Stray,Spayed Female
9 years,A378348,Dog,Normal,Owner Surrender,Neutered Male
9 years,A378348,Dog,Normal,Owner Surrender,Intact Male
10 years,A378353,Dog,Aged,Euthanasia Request,Intact Female
10 years,A378818,Dog,Normal,Stray,Spayed Female
15 years,A378946,Dog,Normal,Owner Surrender,Spayed Female
10 years,A379998,Dog,Normal,Stray,Intact Male
10 years,A380009,Dog,Normal,Public Assist,Spayed Female
9 years,A380320,Dog,Normal,Euthanasia Request,Neutered Male
12 years,A380420,Dog,Normal,Stray,Spayed Female
12 years,A380506,Dog,Normal,Euthanasia Request,Spayed Female
14 years,A381173,Dog,Normal,Stray,Spayed Female
13 years,A381217,Dog,Sick,Stray,Neutered Male
13 years,A381217,Dog,Normal,Stray,Neutered Male
11 years,A382192,Dog,Normal,Owner Surrender,Intact Male
10 years,A382251,Dog,Normal,Stray,Spayed Female
14 years,A383036,Cat,Normal,Owner Surrender,Neutered Male
12 years,A383964,Dog,Normal,Stray,Neutered Male
9 years,A384360,Cat,Injured,Stray,Neutered Male
9 years,A384568,Cat,Normal,Stray,Neutered Male
10 years,A385442,Dog,Normal,Stray,Neutered Male
10 years,A386005,Dog,Normal,Stray,Neutered Male
10 years,A386276,Cat,Normal,Owner Surrender,Neutered Male
10 years,A386688,Dog,Aged,Owner Surrender,Neutered Male
9 years,A387083,Dog,Normal,Stray,Spayed Female
10 years,A387965,Dog,Sick,Stray,Spayed Female
10 years,A388360,Dog,Sick,Stray,Neutered Male
12 years,A388691,Dog,Normal,Stray,Neutered Male
9 years,A390222,Dog,Normal,Owner Surrender,Spayed Female
9 years,A390222,Dog,Normal,Owner Surrender,Spayed Female
11 years,A391512,Dog,Normal,Stray,Neutered Male
11 years,A391858,Dog,Normal,Stray,Spayed Female
14 years,A392027,Dog,Normal,Stray,Spayed Female
8 years,A392075,Dog,Normal,Stray,Neutered Male
10 years,A392615,Dog,Normal,Stray,Neutered Male
9 years,A394547,Dog,Normal,Stray,Spayed Female
10 years,A395451,Dog,Normal,Public Assist,Neutered Male
13 years,A396810,Dog,Injured,Stray,Spayed Female
15 years,A397882,Dog,Injured,Stray,Neutered Male
10 years,A399421,Dog,Normal,Stray,Spayed Female
14 years,A399552,Dog,Normal,Stray,Neutered Male
13 years,A400498,Dog,Normal,Public Assist,Neutered Male
12 years,A400680,Dog,Normal,Owner Surrender,Spayed Female
16 years,A403564,Dog,Normal,Stray,Spayed Female
8 years,A405494,Dog,Normal,Owner Surrender,Spayed Female
12 years,A406756,Dog,Injured,Stray,Spayed Female
11 years,A407156,Dog,Normal,Public Assist,Neutered Male
12 years,A408035,Dog,Normal,Public Assist,Spayed Female
11 years,A409637,Dog,Aged,Stray,Neutered Male
11 years,A410330,Dog,Sick,Owner Surrender,Intact Female
12 years,A410668,Cat,Normal,Owner Surrender,Spayed Female
9 years,A410684,Cat,Normal,Owner Surrender,Spayed Female
9 years,A412173,Dog,Normal,Public Assist,Neutered Male
12 years,A412626,Dog,Normal,Owner Surrender,Neutered Male
10 years,A412697,Dog,Normal,Owner Surrender,Neutered Male
10 years,A413789,Dog,Normal,Stray,Spayed Female
9 years,A414198,Dog,Normal,Stray,Spayed Female
11 years,A414513,Dog,Normal,Public Assist,Neutered Male
13 years,A414620,Dog,Normal,Owner Surrender,Neutered Male
9 years,A415049,Dog,Other,Stray,Spayed Female
10 years,A415589,Dog,Injured,Stray,Spayed Female
12 years,A415823,Dog,Normal,Stray,Neutered Male
12 years,A415823,Dog,Normal,Stray,Neutered Male
11 years,A416128,Dog,Aged,Stray,Neutered Male
11 years,A416756,Dog,Normal,Owner Surrender,Neutered Male
11 years,A417545,Cat,Normal,Stray,Spayed Female
10 years,A417622,Dog,Normal,Public Assist,Neutered Male
12 years,A417642,Cat,Normal,Stray,Neutered Male
14 years,A417705,Dog,Normal,Stray,Spayed Female
13 years,A417737,Dog,Normal,Stray,Spayed Female
11 years,A417832,Cat,Normal,Owner Surrender,Spayed Female
10 years,A418634,Dog,Normal,Stray,Neutered Male
11 years,A419009,Dog,Normal,Stray,Neutered Male
17 years,A419161,Cat,Injured,Stray,Neutered Male
11 years,A419723,Dog,Normal,Stray,Neutered Male
7 years,A419781,Dog,Normal,Stray,Spayed Female
10 years,A420143,Cat,Normal,Owner Surrender,Spayed Female
7 years,A420464,Dog,Normal,Stray,Neutered Male
11 years,A421087,Dog,Normal,Public Assist,Spayed Female
13 years,A422526,Dog,Normal,Owner Surrender,Neutered Male
10 years,A423033,Dog,Normal,Stray,Spayed Female
11 years,A423546,Dog,Aged,Owner Surrender,Neutered Male
8 years,A423701,Dog,Normal,Owner Surrender,Spayed Female
12 years,A424158,Dog,Normal,Stray,Neutered Male
9 years,A424158,Dog,Normal,Stray,Neutered Male
11 years,A424158,Dog,Normal,Stray,Neutered Male
12 years,A424714,Dog,Injured,Stray,Neutered Male
10 years,A427100,Dog,Normal,Public Assist,Spayed Female
10 years,A427442,Cat,Normal,Stray,Spayed Female
9 years,A427782,Dog,Normal,Stray,Neutered Male
13 years,A427808,Dog,Normal,Stray,Spayed Female
8 years,A427866,Dog,Normal,Owner Surrender,Neutered Male
8 years,A428783,Dog,Normal,Public Assist,Spayed Female
10 years,A430328,Dog,Normal,Stray,Spayed Female
9 years,A430366,Dog,Normal,Stray,Neutered Male
7 years,A430368,Dog,Normal,Stray,Neutered Male
10 years,A430437,Dog,Normal,Stray,Neutered Male
8 years,A430500,Dog,Normal,Stray,Spayed Female
11 years,A430501,Dog,Sick,Euthanasia Request,Spayed Female
8 years,A430671,Dog,Normal,Stray,Spayed Female
12 years,A430709,Dog,Normal,Stray,Neutered Male
13 years,A430709,Dog,Injured,Stray,Neutered Male
10 years,A430953,Dog,Aged,Stray,Neutered Male
10 years,A431223,Dog,Normal,Stray,Neutered Male
8 years,A431615,Dog,Normal,Owner Surrender,Spayed Female
8 years,A432065,Dog,Normal,Owner Surrender,Spayed Female
7 years,A432197,Cat,Normal,Stray,Spayed Female
12 years,A433111,Dog,Normal,Stray,Intact Female
12 years,A433111,Dog,Normal,Stray,Intact Female
9 years,A433746,Dog,Normal,Owner Surrender,Spayed Female
11 years,A434523,Cat,Normal,Stray,Spayed Female
9 years,A434923,Dog,Normal,Stray,Spayed Female
9 years,A435209,Dog,Normal,Public Assist,Spayed Female
9 years,A435237,Dog,Aged,Stray,Neutered Male
9 years,A435358,Dog,Normal,Public Assist,Spayed Female
13 years,A436250,Dog,Normal,Stray,Spayed Female
13 years,A438287,Dog,Normal,Owner Surrender,Spayed Female
14 years,A438287,Dog,Normal,Owner Surrender,Spayed Female
8 years,A439702,Cat,Normal,Owner Surrender,Spayed Female
13 years,A439728,Dog,Normal,Stray,Spayed Female
10 years,A439733,Dog,Normal,Public Assist,Spayed Female
12 years,A440082,Dog,Normal,Stray,Neutered Male
12 years,A440835,Dog,Aged,Stray,Spayed Female
8 years,A441798,Dog,Normal,Stray,Neutered Male
9 years,A442798,Dog,Normal,Public Assist,Spayed Female
7 years,A443085,Dog,Normal,Stray,Intact Male
8 years,A443085,Dog,Normal,Owner Surrender,Neutered Male
9 years,A443497,Dog,Normal,Owner Surrender,Spayed Female
9 years,A443738,Dog,Normal,Stray,Spayed Female
9 years,A443790,Dog,Normal,Stray,Neutered Male
9 years,A444115,Cat,Normal,Owner Surrender,Spayed Female
12 years,A445392,Dog,Normal,Stray,Neutered Male
9 years,A445694,Dog,Normal,Stray,Spayed Female
8 years,A447033,Dog,Normal,Owner Surrender,Spayed Female
9 years,A447254,Dog,Normal,Stray,Spayed Female
9 years,A447753,Dog,Normal,Stray,Spayed Female
11 years,A447896,Dog,Normal,Stray,Spayed Female
7 years,A448018,Dog,Normal,Stray,Neutered Male
14 years,A448020,Dog,Aged,Stray,Spayed Female
12 years,A448267,Dog,Normal,Stray,Neutered Male
11 years,A448267,Dog,Normal,Stray,Neutered Male
9 years,A448750,Dog,Normal,Euthanasia Request,Neutered Male
9 years,A448819,Dog,Injured,Stray,Spayed Female
7 years,A449107,Dog,Normal,Stray,Spayed Female
8 years,A449270,Cat,Normal,Owner Surrender,Spayed Female
8 years,A449703,Cat,Normal,Owner Surrender,Spayed Female
11 years,A449752,Dog,Normal,Public Assist,Spayed Female
8 years,A449967,Cat,Normal,Owner Surrender,Neutered Male
10 years,A449968,Cat,Normal,Owner Surrender,Spayed Female
8 years,A449968,Cat,Normal,Owner Surrender,Spayed Female
10 years,A450003,Dog,Normal,Public Assist,Neutered Male
9 years,A450223,Dog,Normal,Stray,Spayed Female
11 years,A450274,Dog,Normal,Stray,Spayed Female
9 years,A450780,Dog,Normal,Owner Surrender,Neutered Male
11 years,A451014,Dog,Injured,Stray,Spayed Female
10 years,A452508,Dog,Normal,Stray,Neutered Male
7 years,A452948,Dog,Normal,Public Assist,Neutered Male
8 years,A453083,Dog,Normal,Stray,Spayed Female
9 years,A453083,Dog,Aged,Stray,Spayed Female
10 years,A453083,Dog,Normal,Stray,Spayed Female
10 years,A453102,Dog,Normal,Stray,Spayed Female
10 years,A453102,Dog,Normal,Stray,Spayed Female
8 years,A453136,Cat,Normal,Owner Surrender,Neutered Male
10 years,A453523,Dog,Normal,Stray,Neutered Male
10 years,A453743,Dog,Normal,Public Assist,Neutered Male
11 years,A453933,Dog,Sick,Stray,Neutered Male
9 years,A454208,Dog,Normal,Stray,Neutered Male
11 years,A454245,Dog,Aged,Stray,Intact Male
13 years,A454384,Dog,Normal,Stray,Neutered Male
13 years,A454384,Dog,Normal,Stray,Neutered Male
8 years,A454486,Dog,Normal,Stray,Spayed Female
12 years,A454665,Dog,Normal,Stray,Neutered Male
10 years,A455146,Dog,Normal,Stray,Spayed Female
8 years,A455868,Dog,Normal,Owner Surrender,Spayed Female
10 years,A456133,Dog,Normal,Stray,Neutered Male
9 years,A456604,Dog,Normal,Stray,Spayed Female
9 years,A456857,Dog,Normal,Public Assist,Spayed Female
9 years,A457029,Dog,Normal,Owner Surrender,Neutered Male
8 years,A457858,Dog,Normal,Stray,Spayed Female
9 years,A457858,Dog,Normal,Public Assist,Spayed Female
11 years,A458233,Dog,Normal,Owner Surrender,Spayed Female
9 years,A459161,Dog,Normal,Stray,Neutered Male
3 years,A459318,Dog,Normal,Stray,Neutered Male
8 years,A459766,Dog,Normal,Owner Surrender,Spayed Female
10 years,A459766,Dog,Normal,Stray,Spayed Female
8 years,A459766,Dog,Normal,Stray,Spayed Female
7 years,A459845,Cat,Normal,Stray,Spayed Female
8 years,A459859,Dog,Injured,Stray,Neutered Male
10 years,A459869,Cat,Normal,Stray,Spayed Female
10 years,A459989,Dog,Aged,Stray,Neutered Male
11 years,A460100,Dog,Injured,Stray,Neutered Male
10 years,A460458,Dog,Normal,Owner Surrender,Neutered Male
8 years,A460458,Dog,Normal,Owner Surrender,Neutered Male
9 years,A460630,Dog,Normal,Stray,Spayed Female
11 years,A461106,Dog,Normal,Stray,Spayed Female
10 years,A461171,Dog,Normal,Stray,Neutered Male
8 years,A461224,Dog,Normal,Public Assist,Neutered Male
10 years,A461358,Cat,Injured,Stray,Spayed Female
12 years,A461574,Dog,Normal,Stray,Intact Male
13 years,A462248,Dog,Normal,Stray,Spayed Female
11 years,A462504,Dog,Normal,Owner Surrender,Spayed Female
9 years,A462504,Dog,Normal,Owner Surrender,Spayed Female
9 years,A462504,Dog,Normal,Owner Surrender,Spayed Female
11 years,A462580,Dog,Normal,Public Assist,Neutered Male
10 years,A462580,Dog,Normal,Public Assist,Neutered Male
10 years,A462580,Dog,Normal,Stray,Neutered Male
10 years,A462580,Dog,Normal,Public Assist,Neutered Male
10 years,A462580,Dog,Normal,Public Assist,Neutered Male
10 years,A462580,Dog,Normal,Owner Surrender,Neutered Male
7 years,A462879,Dog,Normal,Owner Surrender,Spayed Female
8 years,A463218,Dog,Normal,Owner Surrender,Spayed Female
9 years,A463982,Dog,Normal,Stray,Spayed Female
9 years,A464189,Dog,Sick,Owner Surrender,Spayed Female
9 years,A464307,Dog,Injured,Stray,Intact Male
19 years,A464377,Dog,Normal,Stray,Neutered Male
12 years,A464496,Cat,Injured,Stray,Neutered Male
11 years,A464652,Dog,Aged,Public Assist,Intact Male
11 years,A464652,Dog,Normal,Owner Surrender,Intact Male
10 years,A465426,Dog,Normal,Stray,Spayed Female
10 years,A465573,Dog,Normal,Stray,Neutered Male
10 years,A465637,Dog,Injured,Stray,Neutered Male
7 years,A465830,Cat,Normal,Stray,Neutered Male
15 years,A465849,Dog,Normal,Stray,Intact Female
13 years,A465849,Dog,Normal,Stray,Intact Female
11 years,A465930,Dog,Normal,Stray,Spayed Female
10 years,A466156,Dog,Normal,Public Assist,Neutered Male
11 years,A466411,Dog,Injured,Stray,Spayed Female
8 years,A466709,Cat,Normal,Owner Surrender,Neutered Male
9 years,A466810,Dog,Normal,Stray,Spayed Female
8 years,A466858,Cat,Injured,Stray,Spayed Female
9 years,A466946,Dog,Aged,Owner Surrender,Spayed Female
8 years,A467213,Cat,Injured,Euthanasia Request,Spayed Female
9 years,A467387,Dog,Normal,Owner Surrender,Spayed Female
15 years,A467392,Dog,Normal,Stray,Spayed Female
15 years,A467567,Dog,Injured,Stray,Spayed Female
7 years,A468026,Dog,Normal,Stray,Spayed Female
9 years,A468026,Dog,Injured,Stray,Spayed Female
8 years,A468181,Dog,Normal,Stray,Neutered Male
11 years,A468181,Dog,Normal,Stray,Neutered Male
8 years,A468181,Dog,Normal,Stray,Neutered Male
9 years,A468181,Dog,Normal,Public Assist,Neutered Male
6 years,A468790,Dog,Normal,Stray,Neutered Male
10 years,A469338,Dog,Normal,Stray,Neutered Male
8 years,A470287,Dog,Normal,Stray,Neutered Male
17 years,A470702,Dog,Normal,Stray,Spayed Female
7 years,A471015,Dog,Normal,Owner Surrender,Neutered Male
10 years,A471018,Cat,Normal,Stray,Spayed Female
9 years,A471842,Cat,Normal,Stray,Neutered Male
7 years,A473179,Dog,Normal,Euthanasia Request,Neutered Male
12 years,A473353,Dog,Normal,Public Assist,Spayed Female
11 years,A474000,Cat,Normal,Owner Surrender,Neutered Male
11 years,A474000,Cat,Normal,Owner Surrender,Neutered Male
11 years,A474001,Cat,Normal,Owner Surrender,Spayed Female
11 years,A474001,Cat,Normal,Owner Surrender,Spayed Female
8 years,A474311,Cat,Normal,Stray,Neutered Male
11 years,A474539,Dog,Normal,Stray,Neutered Male
10 years,A474852,Dog,Normal,Public Assist,Neutered Male
9 years,A475812,Dog,Normal,Stray,Spayed Female
13 years,A475943,Dog,Normal,Stray,Spayed Female
13 years,A475943,Dog,Normal,Stray,Spayed Female
7 years,A475944,Dog,Normal,Stray,Spayed Female
6 years,A475944,Dog,Normal,Stray,Spayed Female
6 years,A476054,Dog,Normal,Stray,Spayed Female
6 years,A476054,Dog,Normal,Public Assist,Spayed Female
13 years,A476298,Dog,Normal,Stray,Neutered Male
7 years,A476605,Dog,Normal,Stray,Intact Male
9 years,A476605,Dog,Normal,Stray,Neutered Male
9 years,A476642,Cat,Normal,Stray,Spayed Female
8 years,A476706,Dog,Normal,Owner Surrender,Neutered Male
6 years,A476741,Cat,Normal,Owner Surrender,Spayed Female
9 years,A476874,Dog,Sick,Owner Surrender,Spayed Female
10 years,A477516,Dog,Normal,Stray,Neutered Male
8 years,A477746,Cat,Normal,Owner Surrender,Spayed Female
7 years,A477934,Dog,Normal,Stray,Spayed Female
8 years,A478206,Dog,Normal,Stray,Neutered Male
7 years,A478560,Dog,Normal,Public Assist,Spayed Female
9 years,A478560,Dog,Normal,Owner Surrender,Spayed Female
9 years,A478560,Dog,Normal,Owner Surrender,Spayed Female
12 years,A478579,Dog,Aged,Owner Surrender,Spayed Female
9 years,A478957,Cat,Normal,Owner Surrender,Neutered Male
9 years,A479137,Dog,Normal,Owner Surrender,Spayed Female
9 years,A479150,Cat,Normal,Owner Surrender,Spayed Female
8 years,A481727,Dog,Normal,Owner Surrender,Neutered Male
7 years,A482046,Dog,Injured,Stray,Neutered Male
9 years,A482334,Dog,Normal,Owner Surrender,Spayed Female
7 years,A482518,Dog,Normal,Stray,Neutered Male
15 years,A482683,Dog,Normal,Stray,Spayed Female
6 years,A483240,Cat,Normal,Owner Surrender,Spayed Female
10 years,A483604,Dog,Normal,Stray,Spayed Female
13 years,A483647,Dog,Normal,Public Assist,Neutered Male
