State,Year,Intake - Relinquished By Owner Total-Feline,Intake - Stray At Large Total-Feline,Intake - Transferred In Total-Feline,Intake - Owner Intended Euthanasia Total-Feline,Intakes - Other Intakes Total-Feline,Live Outcome - Adoption Total-Feline,Live Outcome - Returned To Owner Total-Feline,Live Outcome - Returned To Field Total-Feline,Live Outcome - Transferred Out Total-Feline,Live outcome - Other Live Outcome Total-Feline,Other Outcome - Died In Care Total-Feline,Other Outcome - Lost In Care Total-Feline,Other Outcome - Owner Intended Euthanasia Total-Feline,Other Outcome - Shelter Euthanasia Total-Feline,Intake - Relinquished By Owner Total-Canine,Intake - Stray At Large Total-Canine,Intake - Transferred In Total-Canine,Intake - Owner Intended Euthanasia Total-Canine,Intakes - Other Intakes Total-Canine,Live Outcome - Adoption Total-Canine,Live Outcome - Returned To Owner Total-Canine,Live Outcome - Returned To Field Total-Canine,Live Outcome - Transferred Out Total-Canine,Live outcome - Other Live Outcome Total-Canine,Other Outcome - Died In Care Total-Canine,Other Outcome - Lost In Care Total-Canine,Other Outcome - Owner Intended Euthanasia Total-Canine,Other Outcome - Shelter Euthanasia Total-Canine,Feline Total Intakes,Feline Total Euth,Canine Total Intake,Canine Total Euth
PA,2021,4406,8494,4217,412,1528,15614,286,208,342,37,648,34,182,1151,2784,3047,4380,637,987,8586,1748,26,230,55,81,9,325,552,19057,1333,11835,877
PR,2021,359,648,19,159,53,226,4,9,25,0,13,9,169,757,526,313,168,265,101,659,24,1,92,0,16,1,270,301,1238,926,1373,571
RI,2021,782,541,529,2,241,1447,80,83,255,93,85,0,2,26,513,366,809,11,140,1193,329,0,206,1,12,2,13,45,2095,28,1839,58
SC,2021,4192,14653,1446,58,1988,12890,363,2868,2219,48,862,50,52,2643,4664,9804,3536,109,941,11267,2274,3,4141,128,150,43,88,971,22337,2695,19054,1059
SD,2021,362,495,79,0,18,530,18,22,334,6,5,0,0,35,327,478,136,3,22,609,13,0,271,0,1,0,0,12,954,35,966,12
TN,2021,5508,11440,2012,100,4197,12978,1107,2061,3096,1499,751,22,58,1385,9852,14982,2129,235,4453,12151,4741,6,10010,1109,415,18,171,1578,23257,1443,31651,1749
TX,2021,16254,37195,22732,740,5724,48910,1394,6334,15066,1829,3516,128,693,4734,24068,48134,27449,1980,8795,50895,13366,9,33836,1412,1399,108,1857,5234,82645,5427,110426,7091
UT,2021,4439,9034,2552,404,2033,9260,686,2273,3840,554,273,5,381,948,3210,6739,3305,1153,1492,7865,4637,0,1282,356,64,3,1111,384,18462,1329,15899,1495
VA,2021,5171,5155,7500,29,425,13424,462,0,2991,0,467,35,21,575,3498,3593,6985,38,626,9919,2393,0,1833,0,105,8,22,267,18280,596,14740,289
VI,2021,165,59,0,0,917,228,19,673,75,67,15,0,0,64,814,624,14,0,89,518,87,3,462,81,16,9,0,387,1141,64,1541,387
VT,2021,1449,814,958,2,162,2892,97,12,19,56,110,4,0,204,450,193,402,0,75,820,137,0,7,24,5,0,0,63,3385,204,1120,63
WA,2021,9463,18403,9864,436,1649,29452,1365,1485,2845,167,1092,40,413,1814,3297,8240,3303,687,879,8258,5471,2,740,12,66,6,662,681,39815,2227,16406,1343
WI,2021,7216,12731,2636,565,2081,18836,1250,950,1057,311,566,16,556,1491,2699,6388,4152,625,1307,8611,4588,0,545,285,79,1,610,997,25229,2047,15171,1607
WV,2021,1588,6060,524,0,166,5072,85,192,1854,65,503,0,1,581,2605,5049,1781,1,331,5306,1459,2,2428,86,95,12,0,197,8338,582,9767,197
WY,2021,894,1240,557,19,1120,2362,175,17,118,605,54,4,19,169,614,801,660,58,1034,1510,960,0,59,398,7,2,59,113,3830,188,3167,172
