State,Year,Intake - Relinquished By Owner Total-Feline,Intake - Stray At Large Total-Feline,Intake - Transferred In Total-Feline,Intake - Owner Intended Euthanasia Total-Feline,Intakes - Other Intakes Total-Feline,Live Outcome - Adoption Total-Feline,Live Outcome - Returned To Owner Total-Feline,Live Outcome - Returned To Field Total-Feline,Live Outcome - Transferred Out Total-Feline,Live outcome - Other Live Outcome Total-Feline,Other Outcome - Died In Care Total-Feline,Other Outcome - Lost In Care Total-Feline,Other Outcome - Owner Intended Euthanasia Total-Feline,Other Outcome - Shelter Euthanasia Total-Feline,Intake - Relinquished By Owner Total-Canine,Intake - Stray At Large Total-Canine,Intake - Transferred In Total-Canine,Intake - Owner Intended Euthanasia Total-Canine,Intakes - Other Intakes Total-Canine,Live Outcome - Adoption Total-Canine,Live Outcome - Returned To Owner Total-Canine,Live Outcome - Returned To Field Total-Canine,Live Outcome - Transferred Out Total-Canine,Live outcome - Other Live Outcome Total-Canine,Other Outcome - Died In Care Total-Canine,Other Outcome - Lost In Care Total-Canine,Other Outcome - Owner Intended Euthanasia Total-Canine,Other Outcome - Shelter Euthanasia Total-Canine,Feline Total Intakes,Feline Total Euth,Canine Total Intake,Canine Total Euth
NH,2019,2309,1063,1013,36,93,3999,187,12,59,35,52,0,22,162,936,677,1417,41,158,2291,620,0,126,7,21,0,35,109,4514,184,3229,144
NJ,2019,2547,4850,2168,17,620,7068,393,200,1193,4,440,2,13,661,1225,1379,6961,34,297,5577,907,2,3074,2,32,1,26,265,10202,674,9896,291
NM,2019,4172,6100,1096,231,4557,5769,329,1458,3444,1043,627,23,139,3953,6285,9901,712,418,5294,6953,4412,3,7743,1062,263,43,337,2975,16156,4092,22610,3312
NV,2019,2558,7853,1568,570,1165,8165,388,1696,1073,16,299,13,565,1280,3744,11850,1401,2162,2808,10479,5141,0,2509,30,108,12,2162,1723,13714,1845,21965,3885
NY,2019,11552,14028,5079,828,1958,27231,772,447,1043,189,779,38,819,2188,4719,4324,9626,1205,1300,15606,2262,53,693,51,153,11,1177,1099,33445,3007,21174,2276
OH,2019,6245,15768,2389,293,2349,20745,278,1061,1902,418,959,211,283,1595,4339,8260,5854,582,1773,14139,2897,0,1669,112,130,23,565,1414,27044,1878,20808,1979
OK,2019,1933,2248,3319,0,1051,4502,73,2130,665,435,586,13,1,267,4441,13356,3382,383,1510,8465,2868,0,7723,34,407,84,353,3195,8551,268,23072,3548
OR,2019,8265,8832,5713,536,1219,18140,721,1092,2215,46,431,6,530,1067,4596,5709,5569,649,1035,10708,4718,0,734,10,87,3,624,663,24565,1597,17558,1287
PA,2019,6217,8807,4501,662,2103,18707,293,283,510,100,639,50,524,1548,3595,3511,4990,760,2211,11464,2001,1,445,14,114,37,750,657,22290,2072,15067,1407
PR,2019,403,1219,0,122,97,234,3,0,8,0,3,4,156,1281,895,762,0,224,148,790,27,0,110,12,15,4,231,854,1841,1437,2029,1085
RI,2019,820,376,387,50,181,1406,48,45,183,0,21,1,48,89,400,538,796,102,188,1300,454,0,176,0,2,0,106,64,1814,137,2024,170
SC,2019,4540,13214,1254,98,2321,11720,280,2965,1592,73,589,510,57,2754,4741,12136,5046,212,652,13976,2333,1,4801,74,158,248,117,894,21427,2811,22787,1011
SD,2019,332,397,52,7,6,495,8,0,172,0,39,0,0,50,332,265,113,3,19,498,29,0,184,0,2,0,1,9,794,50,732,10
TN,2019,6187,14292,2013,54,3370,14192,507,2749,3441,2753,767,30,63,2404,10003,18820,3595,281,5354,15247,5216,137,13385,1266,391,49,301,2717,25916,2467,38053,3018
TX,2019,22853,51155,19163,2308,5851,48424,2169,15344,14125,2358,4256,381,2213,10889,34527,75452,28565,2872,9049,68388,26704,3,37373,1646,1879,202,2570,11400,101330,13102,150465,13970
UT,2019,2980,9546,3533,1170,2090,9596,821,1764,4148,1851,456,4,472,1327,3258,9253,4540,2126,863,10230,6327,0,1413,335,82,4,1310,440,19319,1799,20040,1750
VA,2019,5142,5622,6977,2,425,12894,464,276,2478,57,454,8,15,1502,4070,4436,7551,0,959,11645,2764,1,1956,29,111,5,17,672,18168,1517,17016,689
VI,2019,183,135,0,0,892,218,15,619,84,28,18,3,0,117,841,846,21,0,110,479,133,2,701,81,18,2,0,406,1210,117,1818,406
VT,2019,1562,921,737,17,189,2936,99,3,78,31,60,0,16,205,504,281,499,14,48,1012,200,0,24,4,2,0,13,94,3426,221,1346,107
WA,2019,9676,24108,11551,479,1845,33481,1542,886,6137,254,1138,50,461,2559,4684,11384,6700,761,1105,14401,6952,2,1324,1,88,11,755,904,47659,3020,24634,1659
WI,2019,8585,15653,3019,707,1143,19121,1922,913,2408,120,677,24,777,2103,3751,8206,4848,796,1045,9413,5050,51,1195,24,128,2,776,1193,29107,2880,18646,1969
WV,2019,1718,4903,10,3,76,4433,62,3,1237,205,400,1,2,483,2676,5097,164,9,202,3196,949,2,3566,125,77,6,8,184,6710,485,8148,192
WY,2019,1080,1874,364,26,1140,2499,196,70,241,724,115,4,29,476,831,1112,779,60,1735,1975,1467,1,114,752,28,0,65,159,4484,505,4517,224
AK,2020,800,1404,61,51,68,1755,331,0,38,0,60,5,50,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2384,205,0,0
AL,2020,3495,6803,527,19,525,6816,140,747,1139,0,272,35,14,1456,5919,10502,2159,67,413,7480,2303,16,6483,5,253,21,63,2054,11369,1470,19060,2117
AR,2020,953,2307,435,3,176,3140,166,73,248,268,137,17,3,188,1744,4164,459,15,236,3199,1477,0,1577,305,80,3,5,264,3874,191,6618,269
AZ,2020,8410,11719,1446,507,1564,16664,447,188,1813,543,501,50,497,3046,10188,24101,5986,1681,3887,28214,7283,0,6043,703,374,19,1636,2031,23646,3543,45843,3667
CA,2020,16607,67931,20091,1104,4305,62926,2834,8005,15712,1566,2516,413,1071,12182,21091,62379,13461,3147,6439,52723,23652,226,18518,1080,736,124,2982,7122,110038,13253,106517,10104
CO,2020,10702,14531,8413,120,4503,27167,2204,2948,2600,386,479,47,80,2698,8811,12163,10729,347,3739,22761,9843,273,2080,233,143,38,273,2005,38269,2778,35789,2278
CT,2020,669,718,874,70,181,2089,40,76,127,39,103,1,57,70,232,266,919,97,101,1161,226,0,150,39,13,0,96,21,2512,127,1615,117
DC,2020,704,1987,421,262,1337,3738,116,421,74,4,70,2,168,230,671,1012,251,587,366,1662,486,0,78,7,30,0,469,193,4711,398,2887,662
DE,2020,561,331,2,0,79,864,11,48,26,1,53,0,0,64,140,59,239,0,0,403,25,0,2,0,1,0,0,20,973,64,438,20
FL,2020,20122,65148,10860,2111,7752,60381,2178,17401,11291,799,2755,369,1580,8711,17610,33905,13810,4152,5970,45371,11777,186,9885,1579,373,94,3774,3452,105993,10291,75447,7226
GA,2020,8902,12335,8143,72,3717,20629,429,800,7837,41,1021,45,73,2286,8776,12424,6699,189,4684,19559,4170,0,7958,14,268,30,192,1443,33169,2359,32772,1635
HI,2020,2272,8403,4,161,54,4965,606,421,678,0,162,72,149,3673,2370,4085,357,406,63,3686,1990,0,414,1,32,3,398,793,10894,3822,7281,1191
IA,2020,3909,5783,359,354,485,7775,488,853,929,53,330,1,352,913,2490,3400,897,574,623,4446,2535,0,136,0,41,1,569,383,10890,1265,7984,952
ID,2020,3239,7705,1076,160,1363,9203,392,1010,936,635,253,72,163,1179,3342,5153,2281,442,918,7188,3287,1,523,442,52,7,451,438,13543,1342,12136,889
IL,2020,5433,5950,9280,97,916,18017,343,134,721,15,638,11,97,1313,4083,2326,14661,238,934,18064,1470,0,529,9,222,18,240,919,21676,1410,22242,1159
IN,2020,9389,15761,5200,356,2772,21351,977,2374,4817,472,866,54,265,2806,6011,11628,2926,716,2475,11277,6627,1,3422,74,157,49,578,1580,33478,3071,23756,2158
KS,2020,4762,4242,4629,154,270,9630,349,3,2648,246,309,1,154,880,3490,4941,4064,489,293,7335,2590,0,2178,20,46,7,481,639,14057,1034,13277,1120
KY,2020,7216,8362,3174,90,399,9932,376,2220,4026,84,329,16,84,2267,5941,7848,2971,275,826,7679,3257,3,5592,11,103,1,236,1237,19241,2351,17861,1473
LA,2020,3488,11891,2403,124,1529,8162,293,1843,6370,250,679,88,91,2002,4260,9252,2263,486,2524,5693,2607,63,6721,196,253,100,345,2647,19435,2093,18785,2992
MA,2020,2498,2210,3299,303,321,7236,229,162,66,18,65,0,256,476,1135,591,2079,364,1445,4799,254,0,83,2,20,2,314,277,8631,732,5614,591
MD,2020,2112,5372,2160,115,303,6290,220,37,2216,41,305,27,116,860,2153,2621,1235,358,923,3531,1705,0,1164,17,41,0,348,607,10062,976,7290,955
ME,2020,1995,1225,1829,57,154,4936,218,0,23,1,93,2,46,122,518,655,1441,67,33,2027,615,0,30,2,11,0,57,50,5260,168,2714,107
MI,2020,9845,10289,2389,871,1244,20381,709,297,918,48,504,7,867,1249,4400,5009,6490,1634,1258,11950,3073,0,561,33,84,2,1596,1385,24638,2116,18791,2981
MN,2020,3768,4481,3102,18,1222,9971,299,464,1160,3,259,13,8,278,1750,1443,3225,2,393,5466,973,8,222,3,41,1,3,113,12591,286,6813,116
MO,2020,5665,5001,2436,70,1217,12111,1187,211,111,9,365,20,26,431,4670,5858,2638,202,682,10109,2501,0,933,0,94,8,71,514,14389,457,14050,585
MS,2020,2355,2997,1084,56,197,4593,62,66,879,113,245,60,54,547,4246,6407,3381,180,468,5675,1131,0,7020,3,212,20,210,575,6689,601,14682,785
MT,2020,2540,2993,366,29,453,5271,467,179,43,137,106,5,24,293,1774,2827,974,65,421,3204,2490,0,125,27,10,2,50,133,6381,317,6061,183
NC,2020,10575,21432,4895,207,3827,24936,823,703,6509,1133,917,77,230,6479,9687,15789,10559,631,3910,20872,6474,1,8942,4,234,29,589,3659,40936,6709,40576,4248
ND,2020,460,1340,411,0,404,2441,159,12,8,1,87,0,0,40,620,554,333,13,249,1366,315,0,18,1,14,0,1,14,2615,40,1769,15
NE,2020,1649,2675,522,0,352,3623,273,0,125,0,126,4,1,1048,965,2091,830,1,304,2501,1472,0,95,0,29,1,0,264,5198,1049,4191,264
NH,2020,1359,651,1237,19,122,3087,112,3,27,4,30,0,22,87,406,460,1134,28,101,1563,443,0,42,0,12,1,29,70,3388,109,2129,99
NJ,2020,2440,5671,2614,11,303,8301,600,294,508,13,605,4,18,328,1014,1046,6833,16,211,5436,679,0,2849,1,27,2,23,111,11039,346,9120,134
NM,2020,2641,4994,887,161,3308,5293,267,896,2662,652,302,43,113,2215,4944,7771,353,528,3395,5952,2953,0,6244,319,170,63,291,1277,11991,2328,16991,1568
NV,2020,1852,6343,1336,584,945,7733,316,999,598,26,303,7,580,825,1974,7576,1129,2256,1865,6523,3624,0,1502,13,71,7,2255,1057,11060,1405,14800,3312
NY,2020,8415,12035,5995,779,1561,24135,630,341,840,131,607,45,750,1266,3105,3137,7308,1067,1013,11868,1693,0,372,23,122,4,1026,596,28785,2016,15630,1622
OH,2020,4560,11492,3249,205,1813,17645,231,450,1316,704,480,27,125,809,3258,5693,5965,440,1050,11975,2318,0,1169,36,96,16,361,722,21319,934,16406,1083
OK,2020,2009,2163,2940,11,225,4720,62,1582,533,353,291,6,10,176,3823,10697,2687,387,1119,8125,2408,0,6467,26,170,138,343,1549,7348,186,18713,1892
OR,2020,6395,7628,3773,403,630,14043,602,467,2092,16,296,4,394,777,3108,4225,2942,554,836,6630,3682,0,556,5,48,1,509,460,18829,1171,11665,969
PA,2020,5283,8739,3869,426,1715,17021,302,195,470,208,489,23,211,1035,3170,2766,4936,674,1291,9499,1587,0,362,19,69,5,362,527,20032,1246,12837,889
PR,2020,152,318,23,113,43,172,0,5,25,0,12,1,143,298,368,372,181,205,63,698,21,0,100,0,9,1,202,203,649,441,1189,405
RI,2020,678,382,350,6,303,1237,137,38,226,0,85,0,5,37,381,336,924,37,160,1338,359,0,113,0,10,1,37,44,1719,42,1838,81
SC,2020,3576,12484,1377,141,2202,11395,384,2549,1806,1870,675,145,76,2403,3882,9415,3612,188,856,10942,2036,1,3969,1884,144,69,131,785,19780,2479,17953,916
SD,2020,341,319,27,0,0,513,13,0,154,0,7,0,0,11,356,135,61,3,5,424,13,1,161,0,2,0,0,5,687,11,560,5
TN,2020,4962,11169,1701,61,3978,12129,704,2425,3132,2281,618,42,53,1353,9031,13482,2615,189,6226,12711,4256,17,12411,1322,430,17,195,1472,21871,1406,31543,1667
TX,2020,14847,37808,22200,721,5609,45439,1591,9104,19753,1895,2616,243,670,4284,22858,48365,29867,1788,10347,53359,16273,6,44267,2774,1297,137,1598,3860,81185,4954,113225,5458
UT,2020,3218,7620,3675,602,796,8792,522,1391,3721,523,267,9,439,737,2480,6983,3220,1453,540,7573,4376,13,1299,231,52,3,1167,327,15911,1176,14676,1494
VA,2020,4915,4912,8663,3,302,14291,412,306,2714,5,387,25,25,592,2989,3663,8399,10,870,11694,2344,0,1687,5,131,6,20,321,18795,617,15931,341
VI,2020,162,72,0,0,708,211,10,440,100,36,14,0,0,68,665,702,8,0,164,462,85,0,576,155,9,3,0,249,942,68,1539,249
VT,2020,1259,775,831,7,130,2504,89,1,62,26,52,0,7,171,368,186,248,8,60,628,142,0,9,18,22,0,8,80,3002,178,870,88
WA,2020,8564,17387,9535,413,1576,29317,1244,1381,3469,229,930,33,398,1715,3023,7946,3197,616,720,8400,5187,11,1086,2,54,5,618,621,37475,2113,15502,1239
WI,2020,7427,13607,3074,618,1369,20456,1217,812,1075,241,598,6,595,1570,2989,6005,4899,618,833,9301,4180,0,663,26,48,0,596,785,26095,2165,15344,1381
WV,2020,1208,5146,30,0,85,3455,90,15,1767,86,362,33,1,630,2250,4109,172,9,102,2916,919,1,2707,72,63,5,0,159,6469,631,6642,159
WY,2020,819,1458,394,24,1112,2184,155,72,187,745,45,4,23,218,526,1102,804,58,750,1662,1024,0,57,397,11,1,58,113,3807,241,3240,171
AK,2021,743,1522,85,37,70,1886,289,1,69,0,98,0,38,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2457,95,0,0
